0.5189,0.084242,0.18099
0.67674,-0.0028026,0.36786
0.49956,0.70172,0.91934
0.47924,0.051759,0.33824
0.34362,0.22687,0.57951
0.49619,0.32124,-0.021694
0.048336,0.31824,0.60697
0.52934,0.08604,0.47731
0.48602,0.086693,0.27829
0.15431,0.24419,0.47783
0.44336,0.31111,0.5792
0.46804,0.27176,0.3216
0.597,0.17269,0.45503
0.17311,0.22617,0.60343
0.50239,0.43101,0.16358
0.40575,0.40843,1.0109
0.42438,0.25412,0.39499
0.32348,0.19598,0.41405
0.80904,0.10949,0.46815
0.5373,0.35969,0.12286
0.50946,0.45666,0.28741
0.26286,0.24715,0.49371
0.4709,0.4065,0.8715
0.54498,0.11447,0.37252
0.8239,0.27567,0.58742
0.53593,0.17251,0.68503
0.59136,0.43348,1.0024
0.54273,0.37168,0.30352
0.64294,0.18926,0.54521
0.95732,0.3095,0.61743
0.495,0.19401,0.84122
0.54997,0.27113,0.33451
0.41619,0.13392,0.33832
0.36174,0.2259,0.46865
0.87724,0.32476,0.57331
0.67903,0.28722,0.4927
0.51186,0.064861,0.6253
0.44119,0.17156,0.66804
0.52273,0.10091,0.72882
0.50538,0.29256,0.91938
0.32409,0.43805,0.99765
0.65547,0.44016,1.0268
0.53616,0.34848,0.18683
0.49614,1.0206,0.98965
0.53703,0.42779,0.43921
0.44489,0.27221,0.53792
0.46658,0.079051,0.60469
0.52643,0.42494,0.76875
0.589,0.20692,0.41395
0.0097074,0.41823,0.62507
